,,Survived,Survived,Pclass,Pclass,Pclass,Pclass,Sex,Sex,Age,Age,Age,Age,Age,Age,Age,Age,SibSp,SibSp,SibSp,SibSp,SibSp,SibSp,SibSp,Parch,Parch,Parch,Parch,Parch,Parch,Parch,Fare,Fare,Fare,Fare,Fare,Fare,Fare
,count,mean,std,count,mean,std,max,top,freq,count,mean,std,min,25%,50%,75%,max,mean,std,min,25%,50%,75%,max,mean,std,min,25%,50%,75%,max,mean,std,min,25%,50%,75%,max
Title
Capt,1.00,0.00,,1.00,1.00,,1.00,male,1.00,1.00,70.00,,70.00,70.00,70.00,70.00,70.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,71.00,,71.00,71.00,71.00,71.00,71.00
Col,2.00,0.50,0.71,2.00,1.00,0.00,1.00,male,2.00,2.00,58.00,2.83,56.00,57.00,58.00,59.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.02,6.33,26.55,28.79,31.02,33.26,35.50
Countess,1.00,1.00,,1.00,1.00,,1.00,female,1.00,1.00,33.00,,33.00,33.00,33.00,33.00,33.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,86.50,,86.50,86.50,86.50,86.50,86.50
Don,1.00,0.00,,1.00,1.00,,1.00,male,1.00,1.00,40.00,,40.00,40.00,40.00,40.00,40.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,27.72,,27.72,27.72,27.72,27.72,27.72
Dr,7.00,0.43,0.53,7.00,1.29,0.49,2.00,male,6.00,6.00,42.00,12.02,23.00,35.00,46.50,49.75,54.00,0.57,0.98,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.17,45.67,10.50,19.96,30.50,64.80,133.65
Jonkheer,1.00,0.00,,1.00,1.00,,1.00,male,1.00,1.00,38.00,,38.00,38.00,38.00,38.00,38.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Lady,1.00,1.00,,1.00,1.00,,1.00,female,1.00,1.00,48.00,,48.00,48.00,48.00,48.00,48.00,1.00,,1.00,1.00,1.00,1.00,1.00,0.00,,0.00,0.00,0.00,0.00,0.00,39.60,,39.60,39.60,39.60,39.60,39.60
Major,2.00,0.50,0.71,2.00,1.00,0.00,1.00,male,2.00,2.00,48.50,4.95,45.00,46.75,48.50,50.25,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.52,2.79,26.55,27.54,28.52,29.51,30.50
Master,40.00,0.57,0.50,40.00,2.62,0.63,3.00,male,40.00,36.00,4.57,3.62,0.42,1.00,3.50,8.00,12.00,2.30,1.91,0.00,1.00,1.00,4.00,8.00,1.38,0.54,0.00,1.00,1.00,2.00,2.00,34.70,28.05,8.52,18.75,29.06,39.17,151.55
Miss,182.00,0.70,0.46,182.00,2.31,0.85,3.00,female,182.00,146.00,21.77,12.99,0.75,14.12,21.00,30.00,63.00,0.71,1.43,0.00,0.00,0.00,1.00,8.00,0.55,0.80,0.00,0.00,0.00,1.00,2.00,43.80,66.03,6.75,7.95,15.62,41.03,512.33
Mlle,2.00,1.00,0.00,2.00,1.00,0.00,1.00,female,2.00,2.00,24.00,0.00,24.00,24.00,24.00,24.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.40,14.00,49.50,54.45,59.40,64.35,69.30
Mme,1.00,1.00,,1.00,1.00,,1.00,female,1.00,1.00,24.00,,24.00,24.00,24.00,24.00,24.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,69.30,,69.30,69.30,69.30,69.30,69.30
Mr,517.00,0.16,0.36,517.00,2.41,0.81,3.00,male,517.00,398.00,32.37,12.71,11.00,23.00,30.00,39.00,80.00,0.29,0.82,0.00,0.00,0.00,0.00,8.00,0.15,0.53,0.00,0.00,0.00,0.00,5.00,24.44,44.38,0.00,7.80,9.35,26.00,512.33
Mrs,125.00,0.79,0.41,125.00,2.00,0.82,3.00,female,125.00,108.00,35.90,11.43,14.00,27.75,35.00,44.00,63.00,0.70,0.60,0.00,0.00,1.00,1.00,3.00,0.83,1.27,0.00,0.00,0.00,1.00,6.00,45.14,45.72,7.22,15.85,26.00,57.00,247.52
Ms,1.00,1.00,,1.00,2.00,,2.00,female,1.00,1.00,28.00,,28.00,28.00,28.00,28.00,28.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,13.00,,13.00,13.00,13.00,13.00,13.00
Rev,6.00,0.00,0.00,6.00,2.00,0.00,2.00,male,6.00,6.00,43.17,13.14,27.00,31.50,46.50,53.25,57.00,0.17,0.41,0.00,0.00,0.00,0.00,1.00,0.17,0.41,0.00,0.00,0.00,0.00,1.00,18.31,8.95,12.35,12.64,13.00,22.75,33.00
Sir,1.00,1.00,,1.00,1.00,,1.00,male,1.00,1.00,49.00,,49.00,49.00,49.00,49.00,49.00,1.00,,1.00,1.00,1.00,1.00,1.00,0.00,,0.00,0.00,0.00,0.00,0.00,56.93,,56.93,56.93,56.93,56.93,56.93
